id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,last_review_dayofyear,last_review_dayofweek
15159758,893136,Brooklyn,40.66198,-73.95798,Entire home/apt,98,2,4,0.17,1,0,2017,10,29,302,1
22252628,26022466,Manhattan,40.71495,-73.98589,Private room,70,1,8,0.42,1,0,2018,1,9,9,3
30198546,226832980,Manhattan,40.71744,-73.98957,Private room,115,3,19,2.81,1,0,2019,7,1,182,2
4162519,1267556,Brooklyn,40.63995,-73.96196,Shared room,30,1,81,1.39,1,319,2019,6,29,180,7
4685448,2368446,Queens,40.77443,-73.90756,Private room,60,1,0,0.03,1,0,2017,6,20,224,7
16275257,23055253,Brooklyn,40.69864,-73.92933,Private room,80,3,2,0.07,2,0,2017,9,12,255,3
22815339,164886138,Manhattan,40.81339,-73.95176,Private room,65,1,1,0.07,11,364,2018,4,10,100,3
9230690,8439782,Brooklyn,40.71322,-73.95199,Private room,49,5,0,0.19,1,0,2018,12,2,364,1
22971913,170265686,Brooklyn,40.66615,-73.95426,Entire home/apt,69,3,85,5,1,193,2019,6,18,169,3
11491696,60502606,Manhattan,40.78838,-73.97892,Entire home/apt,250,1,0,0.92,1,0,2019,6,1,1,3
32238933,18874653,Brooklyn,40.69344,-73.9652,Entire home/apt,175,4,5,1.19,1,40,2019,6,30,181,1
5443581,28234750,Brooklyn,40.70892,-73.94982,Entire home/apt,200,14,14,0.28,1,0,2017,8,28,240,2
12825700,5346314,Manhattan,40.74267,-73.99915,Entire home/apt,195,3,1,0.03,1,0,2016,7,4,186,2
11944718,13509844,Manhattan,40.79665,-73.94928,Private room,69,7,7,0.18,1,0,2016,8,14,227,1
7095888,32252422,Brooklyn,40.64796,-73.89176,Entire home/apt,110,2,38,0.81,2,290,2019,7,6,187,7
36135376,216297714,Queens,40.746,-73.87506,Private room,78,14,0,0.21,1,0,2019,1,23,174,5
35564919,4344188,Brooklyn,40.70013,-73.93502,Entire home/apt,159,4,2,2,1,28,2019,7,2,183,3
30696051,120912613,Queens,40.6998,-73.89351,Entire home/apt,99,2,28,5.12,1,289,2019,7,6,187,7
36140236,271393608,Manhattan,40.7664,-73.98586,Shared room,69,1,1,1,6,24,2019,6,30,181,1
253332,552343,Brooklyn,40.6623,-73.99049,Entire home/apt,96,120,13,0.14,1,204,2018,9,1,244,7
28713390,216586341,Brooklyn,40.67172,-73.95031,Entire home/apt,50,3,3,0.33,1,0,2018,11,7,311,4
4350495,14194388,Manhattan,40.79008,-73.94766,Private room,66,4,1,0.02,1,0,2015,11,27,331,6
30293282,19536596,Brooklyn,40.67627,-73.90795,Private room,48,1,57,7.57,5,199,2019,7,4,185,5
36208936,160895899,Brooklyn,40.67644,-73.94005,Entire home/apt,167,3,0,1,1,166,2019,6,23,175,1
27812071,210019212,Brooklyn,40.70767,-73.92307,Private room,49,7,28,2.78,3,28,2019,6,25,176,3
6005910,23044811,Brooklyn,40.68569,-73.94358,Entire home/apt,139,2,119,2.31,2,175,2019,6,9,160,1
34653507,72977337,Manhattan,40.73624,-73.97966,Entire home/apt,250,4,0,0.16,1,4,2018,11,18,342,2
26715682,131522515,Brooklyn,40.59166,-73.96672,Entire home/apt,76,2,26,2.22,1,323,2019,6,23,174,1
10086307,13792543,Manhattan,40.80729,-73.95238,Private room,110,3,76,1.78,3,281,2019,6,26,177,4
14787061,92324633,Manhattan,40.81344,-73.93454,Private room,100,2,7,0.21,1,32,2017,9,4,247,2
23702074,12243051,Manhattan,40.70738,-74.00493,Entire home/apt,212,29,0,0.12,96,332,2018,6,28,284,6
32222783,241765415,Brooklyn,40.70046,-73.98389,Entire home/apt,240,1,1,0.25,1,89,2019,3,14,73,5
8992894,46973966,Manhattan,40.80049,-73.95533,Entire home/apt,899,6,52,1.16,2,287,2019,6,22,173,7
21771486,31697949,Brooklyn,40.66475,-73.99629,Private room,30,2,7,0.36,1,0,2018,5,15,135,3
9117976,41510712,Manhattan,40.82827,-73.9493,Private room,36,1,1,0.02,1,0,2015,12,27,361,1
12869679,1233402,Brooklyn,40.7125,-73.9529,Entire home/apt,180,3,3,0.08,1,0,2016,6,6,158,2
5928949,28362995,Manhattan,40.76042,-73.99021,Entire home/apt,300,3,0,0.05,1,0,2016,3,21,142,3
35707776,175730239,Queens,40.739,-73.92796,Shared room,30,3,0,2,12,360,2019,7,1,182,2
32740310,219517861,Manhattan,40.74928,-73.97453,Entire home/apt,262,2,9,2.35,327,113,2019,6,23,174,1
9991265,2974643,Manhattan,40.73105,-74.00464,Entire home/apt,500,7,0,0.07,1,365,2018,1,18,265,4
21983547,12128527,Manhattan,40.75172,-73.99784,Entire home/apt,225,2,38,2,2,257,2019,7,1,182,2
30552921,227990647,Brooklyn,40.694,-73.93354,Entire home/apt,360,2,26,3.94,1,21,2019,6,21,172,6
19122217,96363026,Brooklyn,40.68293,-73.99747,Entire home/apt,600,5,11,0.47,1,64,2019,1,3,3,5
32398156,30283594,Manhattan,40.74361,-73.97523,Entire home/apt,239,29,0,0.63,121,364,2019,5,23,145,1
15050192,95117581,Brooklyn,40.68201,-73.95553,Entire home/apt,150,30,6,0.18,1,0,2016,12,31,366,7
31552528,236432765,Brooklyn,40.71736,-73.95394,Private room,50,2,3,0.78,2,330,2019,5,3,123,6
34753028,255641440,Queens,40.76108,-73.80736,Private room,32,1,3,1.76,7,285,2019,5,26,146,1
2468186,4665764,Manhattan,40.79838,-73.96388,Private room,200,5,20,0.33,1,0,2019,1,1,1,3
24121036,24591977,Brooklyn,40.67924,-73.9102,Private room,55,4,25,1.67,2,0,2019,1,14,14,2
24541899,52525653,Manhattan,40.80565,-73.95197,Private room,100,2,73,4.98,2,68,2019,6,22,173,7
27389714,200380610,Manhattan,40.77071,-73.98545,Entire home/apt,230,30,0,1,65,348,2019,6,2,153,5
10994530,11501945,Brooklyn,40.63649,-73.95614,Entire home/apt,92,1,25,0.63,2,0,2018,1,1,1,2
7951281,292522,Brooklyn,40.68857,-73.97385,Entire home/apt,200,2,120,2.61,2,287,2019,7,4,185,5
20783811,1911615,Manhattan,40.74641,-74.0051,Entire home/apt,435,3,3,0.14,2,0,2018,5,19,139,7
6420850,2216353,Brooklyn,40.69435,-73.93294,Private room,100,1,1,0.02,1,0,2015,6,9,160,3
12376365,45601111,Queens,40.66952,-73.74624,Private room,40,2,47,1.19,5,173,2019,2,15,46,6
9444997,29417940,Manhattan,40.77813,-73.97574,Private room,150,2,2,0.05,2,0,2016,8,22,235,2
33783445,253118370,Queens,40.76409,-73.82928,Private room,53,1,23,8.73,2,161,2019,7,7,188,1
25842535,35967771,Brooklyn,40.72021,-73.95949,Entire home/apt,180,2,3,0.29,1,0,2019,3,11,70,2
1057022,5822377,Manhattan,40.7265,-73.99,Entire home/apt,159,5,16,0.25,2,0,2018,9,27,270,5
36000224,38576999,Manhattan,40.82806,-73.94537,Private room,50,20,0,2,1,42,2019,6,29,181,7
36301344,200927536,Brooklyn,40.70598,-73.91618,Entire home/apt,129,5,0,1,3,351,2019,6,23,175,4
31947991,4094038,Brooklyn,40.71197,-73.94223,Private room,75,2,16,4.29,4,25,2019,6,6,157,5
6782407,31147528,Brooklyn,40.71354,-73.93882,Private room,45,1,0,0.02,1,0,2016,1,30,361,6
6311978,4309521,Manhattan,40.71959,-73.98984,Private room,60,1,1,0.02,1,0,2016,1,5,5,3
32012464,239978864,Queens,40.7489,-73.87549,Private room,50,2,20,4.69,1,167,2019,7,1,182,2
4615887,23073152,Manhattan,40.7396,-73.98228,Entire home/apt,350,2,0,0.06,1,0,2017,7,12,133,1
31761090,238145460,Brooklyn,40.63037,-73.95671,Private room,45,1,9,1.72,1,129,2019,6,24,175,2
26131873,61391963,Manhattan,40.76234,-73.98947,Entire home/apt,199,30,1,0.1,91,0,2018,8,31,243,6
33034799,27512264,Brooklyn,40.68252,-73.99089,Entire home/apt,143,30,0,0.88,1,181,2019,6,14,136,2
35282883,180368029,Manhattan,40.70694,-74.007,Entire home/apt,250,3,10,8.33,1,335,2019,7,3,184,4
19894567,619942,Brooklyn,40.68705,-73.87036,Private room,42,30,33,1.42,6,74,2019,6,3,154,2
19912332,19113311,Manhattan,40.72592,-73.98862,Entire home/apt,175,2,3,0.13,1,0,2017,10,17,290,3
9422196,12154291,Manhattan,40.73537,-73.98244,Private room,95,1,1,0.03,1,0,2016,6,13,165,2
21845780,5067783,Manhattan,40.76564,-73.99118,Private room,125,1,53,3,1,42,2019,6,21,172,6
23363336,174124006,Manhattan,40.7975,-73.93556,Private room,60,1,61,3.67,1,45,2019,6,27,178,5
36164019,139897963,Brooklyn,40.65694,-73.95374,Private room,33,7,0,1,1,159,2019,6,24,174,2
26743923,164291123,Manhattan,40.74107,-73.98693,Private room,179,1,35,3.11,3,331,2019,5,26,146,1
9059397,14614459,Manhattan,40.7837,-73.94877,Entire home/apt,180,1,1,0.02,4,0,2016,1,5,5,3
12713950,69124785,Manhattan,40.81567,-73.95951,Private room,50,7,2,0.05,1,0,2016,8,13,226,7
7095708,37191929,Brooklyn,40.67921,-73.9603,Entire home/apt,125,2,31,0.67,1,0,2018,3,4,63,1
31462754,14201257,Brooklyn,40.65218,-73.96551,Private room,40,7,4,0.92,1,1,2019,7,6,187,7
12542909,67758079,Queens,40.74706,-73.92076,Entire home/apt,100,1,1,0.03,1,0,2016,5,10,131,3
21147249,75563831,Queens,40.75811,-73.90954,Private room,43,4,19,1.64,2,1,2019,7,5,186,6
10514879,4118478,Manhattan,40.72948,-73.98885,Entire home/apt,450,1,1,0.03,1,0,2016,3,27,87,1
15497229,95459395,Manhattan,40.76188,-73.99806,Entire home/apt,534,30,0,0.08,18,365,2018,6,27,363,6
35381538,7728754,Brooklyn,40.67125,-73.94006,Entire home/apt,90,3,0,1,4,256,2019,6,30,181,1
15324045,9049657,Brooklyn,40.69003,-73.90891,Entire home/apt,390,1,131,4.11,1,321,2019,7,7,188,1
29798872,224190427,Manhattan,40.80183,-73.96542,Private room,68,1,14,2.02,1,12,2019,6,21,172,6
31898478,3734323,Brooklyn,40.68629,-73.91245,Private room,49,2,15,2.8,3,0,2019,6,22,173,7
30091592,16768238,Manhattan,40.75975,-73.9944,Private room,215,2,0,0.16,1,0,2018,12,11,350,2
8166737,6101617,Brooklyn,40.65845,-73.96131,Entire home/apt,89,4,3,0.07,1,0,2016,5,30,151,2
36227447,271844440,Queens,40.59029,-73.81277,Entire home/apt,99,1,1,1,3,176,2019,7,4,185,5
7496824,39262419,Manhattan,40.7787,-73.98407,Entire home/apt,125,3,2,0.05,1,0,2015,12,11,345,6
1126492,6180052,Brooklyn,40.68769,-73.9749,Private room,99,5,4,0.17,1,250,2017,9,29,272,6
14968436,16686968,Manhattan,40.81041,-73.94337,Private room,55,2,114,3.34,1,270,2019,5,27,147,2
3529500,14902860,Brooklyn,40.68388,-73.94427,Entire home/apt,151,5,52,0.91,5,333,2019,6,19,170,4
4407787,22880393,Manhattan,40.71287,-73.98685,Private room,109,3,83,1.57,2,355,2019,6,2,153,1
14111254,3730998,Manhattan,40.74011,-73.99829,Entire home/apt,250,2,45,1.9,1,90,2019,6,19,170,4
9933667,31222791,Brooklyn,40.65986,-73.96163,Entire home/apt,100,1,15,0.35,1,0,2017,12,25,359,2
29393117,220574429,Manhattan,40.74549,-73.99066,Entire home/apt,670,25,0,4.55,3,305,2019,6,8,160,6
36154148,214483712,Staten Island,40.59436,-74.16345,Private room,50,30,0,2.22,3,179,2019,7,2,182,1
33961484,15617182,Manhattan,40.72811,-73.99893,Private room,90,2,4,1.54,1,146,2019,5,19,139,1
16230581,326185,Brooklyn,40.71532,-73.95563,Entire home/apt,108,3,3,0.1,1,0,2017,7,28,209,6
9887763,31534322,Queens,40.7484,-73.94604,Private room,90,2,59,1.37,4,33,2019,1,2,2,4
28943748,130971031,Brooklyn,40.70355,-73.91803,Private room,73,3,1,0.11,4,0,2018,10,8,281,2
29904305,222581357,Brooklyn,40.69202,-73.91487,Private room,46,30,29,3.6,3,246,2019,7,3,184,4
25802592,172541609,Queens,40.74625,-73.91388,Private room,65,2,10,0.78,1,44,2019,7,5,186,6
4054450,4054295,Manhattan,40.76331,-73.99262,Entire home/apt,383,3,24,0.41,1,251,2019,6,28,179,6
13996617,40312918,Brooklyn,40.65263,-73.95734,Private room,80,5,0,0.03,1,0,2016,7,13,219,5
21871576,131993395,Brooklyn,40.62857,-73.94071,Entire home/apt,160,2,53,2.83,1,230,2019,6,22,173,7
63573,310458,Brooklyn,40.66793,-73.98327,Private room,60,14,9,0.09,2,0,2016,8,29,242,2
3258196,169843,Brooklyn,40.71601,-73.9587,Private room,89,3,73,1.19,1,359,2019,1,7,7,2
1745658,9187795,Manhattan,40.73236,-73.9992,Entire home/apt,260,5,13,0.21,1,167,2018,10,25,298,5
7036285,36889987,Manhattan,40.72815,-73.97598,Shared room,100,1,0,0.08,1,0,2016,7,1,308,1
28390924,49568280,Queens,40.77699,-73.91354,Private room,95,1,0,2.26,3,177,2019,6,13,160,2
31916725,129079212,Manhattan,40.74829,-73.98326,Entire home/apt,799,5,3,1.73,1,346,2019,6,4,155,3
35708459,6270968,Brooklyn,40.68364,-73.94067,Private room,43,3,0,1,2,320,2019,7,1,182,3
661814,3341426,Manhattan,40.741,-73.99957,Entire home/apt,250,2,10,0.13,1,0,2016,5,7,128,7
12827123,15398860,Brooklyn,40.66631,-73.98268,Private room,50,20,0,0.03,1,0,2016,3,5,217,4
27215478,200380610,Manhattan,40.76701,-73.98174,Entire home/apt,225,30,0,0.13,65,249,2018,12,31,304,6
25264664,27953442,Manhattan,40.71845,-74.00214,Entire home/apt,799,15,0,0.09,1,214,2018,12,4,266,7
31636424,137358866,Queens,40.74373,-73.90804,Private room,41,30,0,1,103,215,2019,6,1,152,5
484297,2397411,Brooklyn,40.68545,-73.96534,Entire home/apt,350,4,10,0.12,1,0,2018,9,12,255,4
536578,2635819,Brooklyn,40.7014,-73.91333,Private room,59,10,19,0.27,1,0,2019,6,20,171,5
5883655,30554435,Brooklyn,40.72684,-73.95628,Private room,75,1,0,0.02,1,0,2015,5,27,173,2
16427245,18978686,Queens,40.77492,-73.90866,Private room,70,2,0,0.05,1,0,2017,9,28,330,2
16650612,24805629,Manhattan,40.76486,-73.98682,Entire home/apt,200,2,6,0.2,1,0,2017,8,27,239,1
20362385,145241163,Queens,40.73744,-73.88136,Private room,51,2,38,1.66,1,28,2019,1,1,1,3
1956346,5278115,Brooklyn,40.71746,-73.9607,Entire home/apt,200,1,1,0.02,1,320,2015,1,2,2,6
32400196,110062861,Manhattan,40.81461,-73.94635,Entire home/apt,110,4,5,1.23,2,214,2019,5,27,147,2
22446998,5425440,Brooklyn,40.64488,-73.96889,Private room,48,1,2,0.11,1,0,2018,1,16,16,3
26280662,30613046,Brooklyn,40.68176,-73.97891,Private room,66,3,2,1.03,2,87,2019,5,19,139,1
1895457,9848620,Brooklyn,40.72587,-73.94122,Entire home/apt,70,5,2,0.06,1,26,2016,8,23,236,3
4171406,6032480,Brooklyn,40.7095,-73.94945,Private room,55,2,86,1.49,2,38,2019,6,11,162,3
16670882,12096316,Brooklyn,40.69463,-73.94938,Entire home/apt,175,7,4,0.13,1,89,2018,6,14,165,5
6121300,7655328,Manhattan,40.72923,-73.99949,Private room,78,1,3,0.06,3,0,2016,1,31,31,1
36060652,271275248,Brooklyn,40.69057,-73.90671,Private room,50,2,1,1,1,15,2019,6,30,181,1
4518242,23424461,Queens,40.76369,-73.91601,Entire home/apt,80,1,3,0.05,1,0,2016,1,2,2,7
22245492,106899231,Brooklyn,40.69387,-73.97316,Entire home/apt,100,4,53,3.05,2,88,2019,7,2,183,3
34801106,217484432,Queens,40.7754,-73.90787,Private room,115,1,2,1.15,2,304,2019,5,19,139,1
22400856,50312214,Manhattan,40.71975,-73.98975,Entire home/apt,115,2,1,0.05,1,0,2017,12,30,364,7
29702562,1575480,Manhattan,40.77081,-73.94944,Entire home/apt,195,30,1,0.16,1,143,2019,1,1,1,3
